消耗性资产名称,编码,名称,商家/厂家/品牌,批号/编号/标识,规格型号,批次备注,验检入库编号,有效期至,来源,入库总量,入库单位,领用要求,入库备注,房间名称,箱柜屉架,隔板层数,领用出库编号,出库数量,出库单位,出库备注,库存数量,单位,备注说明1,备注说明2
尿素,J1,常规化学品,天津市致远化学试剂有限公司,/,AR500g,,XQN-250724-YZH-J1-005,,购置,500,g,常规,,203,203G-06,1,YZH-250724-XQN-J1-011,2,g,,498,g,,
脲（尿素）,J1,常规化学品,国药集团化学试剂有限公司/西陇化工股份有限公司,20150104/151101 1,AR500g,,,,购置,3,瓶,常规,,203,203G-06,1,,,,,3,瓶,,
碳酸氢钠,J1,常规化学品,国药集团化学试剂有限公司/西陇化工股份有限公司,20150114/18119 2,AR500g,,,,购置,2,瓶,常规,,203,203G-06,1,,,,,2,瓶,,
碳酸氢钠,J1,常规化学品,天津市光复精细化工研究所,20171122,50g,,,,购置,1,瓶,常规,,203,203G-06,1,,,,,1,瓶,,
无水硫酸钠,J1,常规化学品,西陇化工股份有限公司,200308 1,500g,,YZH-250625-PKF-J1-014；YZH-250626-PKF-J1-005；,,购置,6,瓶,常规,,203,203G-06,1,MYM-230720-CJF-J1-001；PKF-250625-YZH-J1-027；PKF-250626-YZH-J1-016；ZFY-250918-YZH-J1-007;,2,瓶,,4,瓶,,7.20盘点有一瓶是无水亚硫酸钠，故出库1
二水合乙酸锌,J1,常规化学品,西陇化工股份有限公司,190406 1,AR500g,,,,购置,3,瓶,常规,,203,203G-06,1,LMI-240815-CYQ-J1-001,1,瓶,,2,瓶,,
氯化钠,J1,常规化学品,西陇化工股份有限公司,181118 1,GR500g,,,,购置,1,瓶,常规,,203,203G-06,1,MYM-230317-CJF-J1-001,1,瓶,,,,,
可溶性淀粉,J1,常规化学品,西陇化工股份有限公司,190225 2,AR500g,,,,购置,1,瓶,常规,,203,203G-06,1,,,,,1,瓶,,
五水合硫代硫酸钠,J1,常规化学品,西陇化工股份有限公司,150508 2,AR500g,,,,购置,1,瓶,常规,已开,203,203G-06,1,,,,,1,瓶,,
一水合硫酸锰（硫酸锰）,J1,常规化学品,国药集团化学试剂有限公司,20150212,AR500g,,,,购置,1,瓶,常规,,203,203G-06,1,,,,,1,瓶,,
碘,J1,常规化学品,西亚试剂/西陇化工股份有限公司,F71165/181116 1,AR250g,,,,购置,2,瓶,常规,,203,203G-06,1,,,,,2,瓶,,
二水合氯化亚锡（II）(氯化亚锡）,J1,常规化学品,国药集团化学试剂有限公司,20140804,AR500g,,,,购置,1,瓶,常规,,203,203G-06,2,,,,,1,瓶,,
六水合硫酸铁（II）铵（硫酸亚铁铵）,J1,常规化学品,国药集团化学试剂有限公司,20140820,AR100g,,,,购置,1,瓶,常规,,203,203G-06,2,,,,,1,瓶,,
六水合硫酸铁（II）铵（硫酸亚铁铵）,J1,常规化学品,国药集团化学试剂有限公司,20180224,AR500g,,,,购置,1,瓶,常规,,203,203G-06,2,,,,,1,瓶,,
硫酸铝钾十二水合物,J1,常规化学品,艾科试剂,201903061,"AR,99.5%,500g",,,,购置,1,瓶,常规,,203,203G-06,2,,,,,1,瓶,,
十二水合硫酸铝钾（硫酸铝钾）,J1,常规化学品,西陇化工股份有限公司,120130 1,"AR,99.5%,500g",,,,购置,1,瓶,常规,,203,203G-06,2,,,,,1,瓶,,
硫酸锌（七水）,J1,常规化学品,西亚试剂,20210907,"AR,99.5%,500g",,,,购置,3,瓶,常规,,203,203G-06,2,MYM-220627-MYM-J1-002,1,瓶,,2,瓶,,
硫氰酸钠,J1,常规化学品,西陇化工股份有限公司,150428 2,AR500g,,,,购置,5,瓶,常规,,203,203G-06,2,,,,,5,瓶,,
碳酸铵,J1,常规化学品,国药集团化学试剂有限公司,20140807,AR500g,,,,购置,1,瓶,常规,,203,203G-06,2,,,,,1,瓶,,
氯化锶,J1,常规化学品,艾科试剂,201805171,500g,,,,购置,1,瓶,常规,,203,203G-06,2,,,,,1,瓶,,
硫酸镁,J1,常规化学品,西陇化工股份有限公司,181203 1,AR500g,,,,购置,1,瓶,常规,,203,203G-06,2,,,,,1,瓶,,
氢氧化铝,J1,常规化学品,国药集团化学试剂有限公司,20150127,AR500g,,,,购置,1,瓶,常规,,203,203G-06,3,,,,,1,瓶,,
无水亚硫酸钾,J1,常规化学品,国药集团化学试剂有限公司,20140513,CP500g,,,,购置,1,瓶,常规,,203,203G-06,3,,,,,1,瓶,,
聚乙烯醇磷酸铵,J1,常规化学品,天津市光复精细化工研究所,20170728,AR25g,,,,购置,1,瓶,常规,,203,203G-06,3,,,,,1,瓶,,
聚乙烯醇磷酸铵,J1,常规化学品,国药集团化学试剂有限公司,20180116,AR25g,,,,购置,1,瓶,常规,,203,203G-06,3,,,,,1,瓶,,
L（+）-抗坏血酸,J1,常规化学品,国药集团化学试剂有限公司,191128 2,100g,,,,购置,3,瓶,常规,,203,203G-06,3,MYM/QHJ0220523-J1-001；MYM-220804-MYM-J1-001；PKF-250619-XQN-J1-001；,3,瓶,最后1瓶放212柜,,,,
硫酸氧钛,J1,常规化学品,艾科试剂,201807291,AR250g,,,,购置,1,瓶,常规,,203,203G-06,3,,,,,1,瓶,,
碱式碳酸镁，五水,J1,常规化学品,国药集团化学试剂有限公司,20190214,AR250g,,,,购置,2,包,常规,,203,203G-06,3,,,,,2,包,,
硫氰酸钾,J1,常规化学品,国药集团化学试剂有限公司,20141205,AR500g,,,,购置,1,瓶,常规,,203,203G-06,3,,,,,1,瓶,,
焦硫酸钾,J1,常规化学品,国药集团化学试剂有限公司,20150109,CP500g,,,,购置,1,瓶,常规,,203,203G-06,3,,,,,1,瓶,,
十二水合硫酸铁铵,J1,常规化学品,艾科试剂,201807281,"GR,99.5%,500g",,,,购置,1,瓶,常规,,203,203G-06,3,,,,,1,瓶,,
结晶硫酸钠,J1,常规化学品,天津市科密欧化学试剂有限公司,20200110,GR500g,,,,购置,1,瓶,常规,,203,203G-06,3,YZH-251125-YZH-J1-006,1,瓶,,,,,
三水合乙酸铅（乙酸铅）,J1,常规化学品,国药集团化学试剂有限公司,20150109,AR250g,,,,购置,1,瓶,常规,,203,203G-06,3,,,,,1,瓶,,
无水碳酸钠,J1,常规化学品,天津市北辰方正试剂厂,/,100g,,,,购置,1,瓶,常规,,203,203G-06,3,,,,,1,瓶,,
无水碳酸钠,J1,常规化学品,西陇化工股份有限公司,180108 1,AR500g,,,,购置,1,瓶,常规,,203,203G-06,3,,,,,1,瓶,,
无水碳酸钠,J1,常规化学品,国药集团化学试剂有限公司,20150114,500g,,,,购置,1,瓶,常规,,203,203G-06,3,,,,,1,瓶,,
吡咯烷二硫代氨基甲酸铵,J1,常规化学品,上海三爱思试剂有限公司,20180619,AR25g,,,,购置,2,瓶,常规,,203,203G-06,3,,,,,2,瓶,,
香柏油（人造）,J1,常规化学品,中国上海标本模型厂,20161016,25ml,,,,购置,2,瓶,常规,,203,203G-06,3,,,,,2,瓶,,
亚甲基蓝,J1,常规化学品,天津市致远化学试剂有限公司,20190220,AR25g,,,,购置,1,瓶,常规,,203,203G-06,3,,,,,1,瓶,,
二氧化硅,J1,常规化学品,国药集团化学试剂有限公司,20141029,AR500g,,,,购置,1,瓶,常规,,203,203G-06,3,,,,,1,瓶,,
活性炭26-35目,J1,常规化学品,国药集团化学试剂有限公司,20180711,"色谱用,100g",,,,购置,1,瓶,常规,,203,203G-06,3,,,,,1,瓶,,
二水合硫酸钙（硫酸钙）,J1,常规化学品,西陇化工股份有限公司,150408 3,AR500g,,,,购置,1,瓶,常规,原名字写错,203,203G-06,4,,,,,1,瓶,,
六偏磷酸钠,J1,常规化学品,国药集团化学试剂有限公司,20140916,CP500g,,,,购置,2,瓶,常规,,203,203G-06,4,,,,,2,瓶,,
甲酸钠.二水,J1,常规化学品,国药集团化学试剂有限公司,20141111,AR500g,,,,购置,1,瓶,常规,外面找到已放入，已开,203,203G-06,4,,,,,1,瓶,,
氢氧化铜,J1,常规化学品,国药集团化学试剂有限公司,20141009,CP500g,,,,购置,1,瓶,常规,,203,203G-06,4,,,,,1,瓶,,"251211未开封,约0.6瓶"
聚乙烯,J1,常规化学品,西亚试剂,N4963,AR500g,,,,购置,1,瓶,常规,,203,203G-06,4,,,,,1,瓶,,
一水葡萄糖复合物,J1,常规化学品,,20190214,-,,,,购置,1,瓶,常规,,203,203G-06,4,,,,,1,瓶,,
无水乙酸钠,J1,常规化学品,国药集团化学试剂有限公司,20141126,AR500g,,,,购置,1,瓶,常规,,203,203G-06,4,,,,,1,瓶,,251211约0.5瓶
焦磷酸铁,J1,常规化学品,生工生物工程（上海）股份有限公司,CC09BA0020,500g,,,,购置,1,瓶,常规,,203,203G-06,4,,,,,1,瓶,,
卵磷脂（大豆）,J1,常规化学品,科密欧,20200110,BC100g,,,,购置,1,瓶,常规,,203,203G-06,5,,,,,1,瓶,,
2500g袋装蓝色变色硅胶,J1,常规化学品,上海威盛科技发展有限公司,CG201909060013,2500g/袋,,,,购置,3,袋,常规,保质期：未开封十八个月,203,203G-06,5,YZH-251022-WYH-J1-001,1,袋,,2,袋,,
普通琼脂斜面培养基,J1,常规化学品,百思,20180813001,100g,,,,购置,1,瓶,常规,,203,203G-06,5,MYM-22090MYM-J1-004,1,瓶,,,,,
硝酸盐蛋白胨水培养基,J1,常规化学品,百思,20180801001,250g,,,,购置,1,瓶,常规,,203,203G-06,5,MYM-220907-MYM-J1-003,1,瓶,,,,,
明胶培养基,J1,常规化学品,百思,20180808001,250g,,,,购置,1,瓶,常规,,203,203G-06,5,MYM-220907-MYM-J1-001,1,瓶,,,,,
营养琼脂,J1,常规化学品,沃凯,20180907,R250g,,,,购置,1,瓶,常规,,203,203G-06,5,YZH-251014-SYY-J1-005,1,瓶,,,,,
血琼脂基础,J1,常规化学品,百思生物,20200718001,250g,,SYY-250626-PKF-J1-003,,购置,1,瓶,常规,,203,203G-06,5,PKF-250626-SYY-J1-009；YZH-250910-SYY-J1-001,1,瓶,,,,,
硅藻土,J1,常规化学品,国药集团化学试剂有限公司,20140305,CP1kg,,,,购置,1,袋,常规,,203,203G-06,5,,,,,1,袋,,
硅藻土,J1,常规化学品,西陇化工股份有限公司,1801151,CP 500g,,,,购置,2,袋,常规,,203,203G-06,5,,,,,2,袋,,
硅胶板,J1,常规化学品,青岛海洋化工厂分厂,20130806,20片/盒,,,,购置,5,盒,常规,,203,203G-06,5,,,,,5,盒,,
